s (1,1) 2
s (2,1) 1
s (3,1) 1
s (4,1) 1
s (5,1) 2
(1,1) (1,2) 3
(2,1) (2,2) 2
(3,1) (3,2) 2
(4,1) (4,2) 2
(5,1) (5,2) 1
(1,2) (1,3) 5
(2,2) (2,3) 1
(3,2) (3,3) 2
(4,2) (4,3) 1
(5,2) (5,3) 4
(1,3) (1,4) 1
(2,3) (2,4) 4
(3,3) (3,4) 1
(4,3) (4,4) 4
(5,3) (5,4) 3
(1,4) (1,5) 4
(2,4) (2,5) 5
(3,4) (3,5) 3
(4,4) (4,5) 1
(5,4) (5,5) 2
(1,5) (1,6) 1
(2,5) (2,6) 5
(3,5) (3,6) 1
(4,5) (4,6) 3
(5,5) (5,6) 1
(1,6) (1,7) 4
(2,6) (2,7) 2
(3,6) (3,7) 1
(4,6) (4,7) 3
(5,6) (5,7) 1
(1,7) (1,8) 5
(2,7) (2,8) 2
(3,7) (3,8) 2
(4,7) (4,8) 3
(5,7) (5,8) 1
(1,8) (1,9) 2
(2,8) (2,9) 4
(3,8) (3,9) 3
(4,8) (4,9) 4
(5,8) (5,9) 1
(1,9) (1,10) 2
(2,9) (2,10) 2
(3,9) (3,10) 5
(4,9) (4,10) 2
(5,9) (5,10) 5
(1,10) (1,11) 2
(2,10) (2,11) 3
(3,10) (3,11) 3
(4,10) (4,11) 5
(5,10) (5,11) 2
(1,11) (1,12) 5
(2,11) (2,12) 1
(3,11) (3,12) 4
(4,11) (4,12) 1
(5,11) (5,12) 2
(1,12) (1,13) 4
(2,12) (2,13) 3
(3,12) (3,13) 3
(4,12) (4,13) 3
(5,12) (5,13) 1
(1,13) (1,14) 2
(2,13) (2,14) 2
(3,13) (3,14) 5
(4,13) (4,14) 1
(5,13) (5,14) 4
(1,14) (1,15) 1
(2,14) (2,15) 1
(3,14) (3,15) 5
(4,14) (4,15) 4
(5,14) (5,15) 3
(1,15) (1,16) 3
(2,15) (2,16) 4
(3,15) (3,16) 5
(4,15) (4,16) 4
(5,15) (5,16) 1
(1,16) (1,17) 4
(2,16) (2,17) 3
(3,16) (3,17) 4
(4,16) (4,17) 5
(5,16) (5,17) 4
(1,17) (1,18) 1
(2,17) (2,18) 1
(3,17) (3,18) 4
(4,17) (4,18) 4
(5,17) (5,18) 4
(1,18) (1,19) 2
(2,18) (2,19) 5
(3,18) (3,19) 3
(4,18) (4,19) 4
(5,18) (5,19) 2
(1,19) (1,20) 1
(2,19) (2,20) 2
(3,19) (3,20) 5
(4,19) (4,20) 5
(5,19) (5,20) 5
(1,1) (2,1) 4
(2,1) (1,1) 3
(2,1) (3,1) 3
(3,1) (2,1) 1
(3,1) (4,1) 4
(4,1) (3,1) 2
(4,1) (5,1) 5
(5,1) (4,1) 2
(1,2) (2,2) 2
(2,2) (1,2) 5
(2,2) (3,2) 1
(3,2) (2,2) 4
(3,2) (4,2) 4
(4,2) (3,2) 1
(4,2) (5,2) 3
(5,2) (4,2) 2
(1,3) (2,3) 2
(2,3) (1,3) 4
(2,3) (3,3) 3
(3,3) (2,3) 2
(3,3) (4,3) 3
(4,3) (3,3) 1
(4,3) (5,3) 4
(5,3) (4,3) 2
(1,4) (2,4) 5
(2,4) (1,4) 2
(2,4) (3,4) 2
(3,4) (2,4) 1
(3,4) (4,4) 2
(4,4) (3,4) 5
(4,4) (5,4) 2
(5,4) (4,4) 3
(1,5) (2,5) 5
(2,5) (1,5) 5
(2,5) (3,5) 1
(3,5) (2,5) 5
(3,5) (4,5) 1
(4,5) (3,5) 1
(4,5) (5,5) 2
(5,5) (4,5) 4
(1,6) (2,6) 3
(2,6) (1,6) 1
(2,6) (3,6) 3
(3,6) (2,6) 2
(3,6) (4,6) 1
(4,6) (3,6) 1
(4,6) (5,6) 1
(5,6) (4,6) 2
(1,7) (2,7) 5
(2,7) (1,7) 5
(2,7) (3,7) 1
(3,7) (2,7) 1
(3,7) (4,7) 1
(4,7) (3,7) 5
(4,7) (5,7) 2
(5,7) (4,7) 4
(1,8) (2,8) 4
(2,8) (1,8) 2
(2,8) (3,8) 1
(3,8) (2,8) 5
(3,8) (4,8) 5
(4,8) (3,8) 5
(4,8) (5,8) 5
(5,8) (4,8) 5
(1,9) (2,9) 3
(2,9) (1,9) 2
(2,9) (3,9) 1
(3,9) (2,9) 1
(3,9) (4,9) 1
(4,9) (3,9) 2
(4,9) (5,9) 5
(5,9) (4,9) 1
(1,10) (2,10) 4
(2,10) (1,10) 1
(2,10) (3,10) 1
(3,10) (2,10) 3
(3,10) (4,10) 3
(4,10) (3,10) 5
(4,10) (5,10) 4
(5,10) (4,10) 1
(1,11) (2,11) 4
(2,11) (1,11) 3
(2,11) (3,11) 2
(3,11) (2,11) 5
(3,11) (4,11) 4
(4,11) (3,11) 1
(4,11) (5,11) 3
(5,11) (4,11) 3
(1,12) (2,12) 3
(2,12) (1,12) 1
(2,12) (3,12) 2
(3,12) (2,12) 5
(3,12) (4,12) 1
(4,12) (3,12) 5
(4,12) (5,12) 1
(5,12) (4,12) 1
(1,13) (2,13) 2
(2,13) (1,13) 3
(2,13) (3,13) 1
(3,13) (2,13) 2
(3,13) (4,13) 1
(4,13) (3,13) 5
(4,13) (5,13) 2
(5,13) (4,13) 2
(1,14) (2,14) 1
(2,14) (1,14) 3
(2,14) (3,14) 3
(3,14) (2,14) 2
(3,14) (4,14) 2
(4,14) (3,14) 5
(4,14) (5,14) 4
(5,14) (4,14) 1
(1,15) (2,15) 2
(2,15) (1,15) 4
(2,15) (3,15) 1
(3,15) (2,15) 4
(3,15) (4,15) 5
(4,15) (3,15) 3
(4,15) (5,15) 3
(5,15) (4,15) 3
(1,16) (2,16) 4
(2,16) (1,16) 1
(2,16) (3,16) 4
(3,16) (2,16) 2
(3,16) (4,16) 3
(4,16) (3,16) 2
(4,16) (5,16) 2
(5,16) (4,16) 3
(1,17) (2,17) 3
(2,17) (1,17) 4
(2,17) (3,17) 1
(3,17) (2,17) 3
(3,17) (4,17) 5
(4,17) (3,17) 1
(4,17) (5,17) 2
(5,17) (4,17) 3
(1,18) (2,18) 5
(2,18) (1,18) 1
(2,18) (3,18) 4
(3,18) (2,18) 2
(3,18) (4,18) 4
(4,18) (3,18) 4
(4,18) (5,18) 1
(5,18) (4,18) 3
(1,19) (2,19) 4
(2,19) (1,19) 4
(2,19) (3,19) 5
(3,19) (2,19) 3
(3,19) (4,19) 3
(4,19) (3,19) 1
(4,19) (5,19) 1
(5,19) (4,19) 4
(1,20) (2,20) 1
(2,20) (1,20) 1
(2,20) (3,20) 1
(3,20) (2,20) 3
(3,20) (4,20) 2
(4,20) (3,20) 1
(4,20) (5,20) 3
(5,20) (4,20) 2
(1,20) t 1
(2,20) t 4
(3,20) t 3
(4,20) t 1
(5,20) t 4
