s (1,1) 25
s (2,1) 25
s (3,1) 25
s (4,1) 25
s (5,1) 25
(1,1) (1,2) 25
(2,1) (2,2) 25
(3,1) (3,2) 25
(4,1) (4,2) 25
(5,1) (5,2) 25
(1,2) (1,3) 25
(2,2) (2,3) 25
(3,2) (3,3) 25
(4,2) (4,3) 25
(5,2) (5,3) 25
(1,3) (1,4) 25
(2,3) (2,4) 25
(3,3) (3,4) 25
(4,3) (4,4) 25
(5,3) (5,4) 25
(1,4) (1,5) 25
(2,4) (2,5) 25
(3,4) (3,5) 25
(4,4) (4,5) 25
(5,4) (5,5) 25
(1,5) (1,6) 25
(2,5) (2,6) 25
(3,5) (3,6) 25
(4,5) (4,6) 25
(5,5) (5,6) 25
(1,6) (1,7) 25
(2,6) (2,7) 25
(3,6) (3,7) 25
(4,6) (4,7) 25
(5,6) (5,7) 25
(1,7) (1,8) 25
(2,7) (2,8) 25
(3,7) (3,8) 25
(4,7) (4,8) 25
(5,7) (5,8) 25
(1,8) (1,9) 25
(2,8) (2,9) 25
(3,8) (3,9) 25
(4,8) (4,9) 25
(5,8) (5,9) 25
(1,9) (1,10) 25
(2,9) (2,10) 25
(3,9) (3,10) 25
(4,9) (4,10) 25
(5,9) (5,10) 25
(1,10) (1,11) 25
(2,10) (2,11) 25
(3,10) (3,11) 25
(4,10) (4,11) 25
(5,10) (5,11) 25
(1,11) (1,12) 25
(2,11) (2,12) 25
(3,11) (3,12) 25
(4,11) (4,12) 25
(5,11) (5,12) 25
(1,12) (1,13) 25
(2,12) (2,13) 25
(3,12) (3,13) 25
(4,12) (4,13) 25
(5,12) (5,13) 25
(1,13) (1,14) 25
(2,13) (2,14) 25
(3,13) (3,14) 25
(4,13) (4,14) 25
(5,13) (5,14) 25
(1,14) (1,15) 25
(2,14) (2,15) 25
(3,14) (3,15) 25
(4,14) (4,15) 25
(5,14) (5,15) 25
(1,1) (2,1) 25
(2,1) (1,1) 25
(2,1) (3,1) 25
(3,1) (2,1) 25
(3,1) (4,1) 25
(4,1) (3,1) 25
(4,1) (5,1) 25
(5,1) (4,1) 25
(1,2) (2,2) 25
(2,2) (1,2) 25
(2,2) (3,2) 25
(3,2) (2,2) 25
(3,2) (4,2) 25
(4,2) (3,2) 25
(4,2) (5,2) 25
(5,2) (4,2) 25
(1,3) (2,3) 25
(2,3) (1,3) 25
(2,3) (3,3) 25
(3,3) (2,3) 25
(3,3) (4,3) 25
(4,3) (3,3) 25
(4,3) (5,3) 25
(5,3) (4,3) 25
(1,4) (2,4) 25
(2,4) (1,4) 25
(2,4) (3,4) 25
(3,4) (2,4) 25
(3,4) (4,4) 25
(4,4) (3,4) 25
(4,4) (5,4) 25
(5,4) (4,4) 25
(1,5) (2,5) 25
(2,5) (1,5) 25
(2,5) (3,5) 25
(3,5) (2,5) 25
(3,5) (4,5) 25
(4,5) (3,5) 25
(4,5) (5,5) 25
(5,5) (4,5) 25
(1,6) (2,6) 25
(2,6) (1,6) 25
(2,6) (3,6) 25
(3,6) (2,6) 25
(3,6) (4,6) 25
(4,6) (3,6) 25
(4,6) (5,6) 25
(5,6) (4,6) 25
(1,7) (2,7) 25
(2,7) (1,7) 25
(2,7) (3,7) 25
(3,7) (2,7) 25
(3,7) (4,7) 25
(4,7) (3,7) 25
(4,7) (5,7) 25
(5,7) (4,7) 25
(1,8) (2,8) 25
(2,8) (1,8) 25
(2,8) (3,8) 25
(3,8) (2,8) 25
(3,8) (4,8) 25
(4,8) (3,8) 25
(4,8) (5,8) 25
(5,8) (4,8) 25
(1,9) (2,9) 25
(2,9) (1,9) 25
(2,9) (3,9) 25
(3,9) (2,9) 25
(3,9) (4,9) 25
(4,9) (3,9) 25
(4,9) (5,9) 25
(5,9) (4,9) 25
(1,10) (2,10) 25
(2,10) (1,10) 25
(2,10) (3,10) 25
(3,10) (2,10) 25
(3,10) (4,10) 25
(4,10) (3,10) 25
(4,10) (5,10) 25
(5,10) (4,10) 25
(1,11) (2,11) 25
(2,11) (1,11) 25
(2,11) (3,11) 25
(3,11) (2,11) 25
(3,11) (4,11) 25
(4,11) (3,11) 25
(4,11) (5,11) 25
(5,11) (4,11) 25
(1,12) (2,12) 25
(2,12) (1,12) 25
(2,12) (3,12) 25
(3,12) (2,12) 25
(3,12) (4,12) 25
(4,12) (3,12) 25
(4,12) (5,12) 25
(5,12) (4,12) 25
(1,13) (2,13) 25
(2,13) (1,13) 25
(2,13) (3,13) 25
(3,13) (2,13) 25
(3,13) (4,13) 25
(4,13) (3,13) 25
(4,13) (5,13) 25
(5,13) (4,13) 25
(1,14) (2,14) 25
(2,14) (1,14) 25
(2,14) (3,14) 25
(3,14) (2,14) 25
(3,14) (4,14) 25
(4,14) (3,14) 25
(4,14) (5,14) 25
(5,14) (4,14) 25
(1,15) (2,15) 25
(2,15) (1,15) 25
(2,15) (3,15) 25
(3,15) (2,15) 25
(3,15) (4,15) 25
(4,15) (3,15) 25
(4,15) (5,15) 25
(5,15) (4,15) 25
(1,15) t 25
(2,15) t 25
(3,15) t 25
(4,15) t 25
(5,15) t 25
