s (1,1) 33
s (2,1) 79
s (3,1) 89
s (4,1) 88
s (5,1) 84
(1,1) (1,2) 44
(2,1) (2,2) 52
(3,1) (3,2) 5
(4,1) (4,2) 32
(5,1) (5,2) 92
(1,2) (1,3) 33
(2,2) (2,3) 73
(3,2) (3,3) 69
(4,2) (4,3) 82
(5,2) (5,3) 74
(1,3) (1,4) 74
(2,3) (2,4) 15
(3,3) (3,4) 6
(4,3) (4,4) 28
(5,3) (5,4) 80
(1,4) (1,5) 44
(2,4) (2,5) 56
(3,4) (3,5) 33
(4,4) (4,5) 80
(5,4) (5,5) 88
(1,5) (1,6) 59
(2,5) (2,6) 86
(3,5) (3,6) 53
(4,5) (4,6) 9
(5,5) (5,6) 94
(1,6) (1,7) 13
(2,6) (2,7) 80
(3,6) (3,7) 46
(4,6) (4,7) 54
(5,6) (5,7) 52
(1,7) (1,8) 5
(2,7) (2,8) 11
(3,7) (3,8) 85
(4,7) (4,8) 77
(5,7) (5,8) 98
(1,8) (1,9) 54
(2,8) (2,9) 63
(3,8) (3,9) 43
(4,8) (4,9) 54
(5,8) (5,9) 81
(1,9) (1,10) 36
(2,9) (2,10) 36
(3,9) (3,10) 27
(4,9) (4,10) 100
(5,9) (5,10) 42
(1,10) (1,11) 1
(2,10) (2,11) 18
(3,10) (3,11) 100
(4,10) (4,11) 73
(5,10) (5,11) 95
(1,11) (1,12) 12
(2,11) (2,12) 26
(3,11) (3,12) 44
(4,11) (4,12) 86
(5,11) (5,12) 55
(1,12) (1,13) 42
(2,12) (2,13) 74
(3,12) (3,13) 95
(4,12) (4,13) 77
(5,12) (5,13) 92
(1,13) (1,14) 3
(2,13) (2,14) 24
(3,13) (3,14) 49
(4,13) (4,14) 100
(5,13) (5,14) 22
(1,14) (1,15) 49
(2,14) (2,15) 85
(3,14) (3,15) 50
(4,14) (4,15) 96
(5,14) (5,15) 91
(1,15) (1,16) 37
(2,15) (2,16) 89
(3,15) (3,16) 15
(4,15) (4,16) 12
(5,15) (5,16) 18
(1,16) (1,17) 13
(2,16) (2,17) 73
(3,16) (3,17) 30
(4,16) (4,17) 2
(5,16) (5,17) 56
(1,17) (1,18) 15
(2,17) (2,18) 16
(3,17) (3,18) 3
(4,17) (4,18) 54
(5,17) (5,18) 46
(1,18) (1,19) 55
(2,18) (2,19) 87
(3,18) (3,19) 13
(4,18) (4,19) 9
(5,18) (5,19) 87
(1,19) (1,20) 84
(2,19) (2,20) 56
(3,19) (3,20) 73
(4,19) (4,20) 6
(5,19) (5,20) 34
(1,20) (1,21) 8
(2,20) (2,21) 91
(3,20) (3,21) 10
(4,20) (4,21) 46
(5,20) (5,21) 29
(1,21) (1,22) 32
(2,21) (2,22) 50
(3,21) (3,22) 12
(4,21) (4,22) 68
(5,21) (5,22) 35
(1,22) (1,23) 31
(2,22) (2,23) 13
(3,22) (3,23) 10
(4,22) (4,23) 55
(5,22) (5,23) 5
(1,23) (1,24) 83
(2,23) (2,24) 81
(3,23) (3,24) 67
(4,23) (4,24) 34
(5,23) (5,24) 11
(1,24) (1,25) 46
(2,24) (2,25) 25
(3,24) (3,25) 84
(4,24) (4,25) 58
(5,24) (5,25) 14
(1,25) (1,26) 87
(2,25) (2,26) 43
(3,25) (3,26) 28
(4,25) (4,26) 42
(5,25) (5,26) 73
(1,26) (1,27) 77
(2,26) (2,27) 37
(3,26) (3,27) 99
(4,26) (4,27) 43
(5,26) (5,27) 65
(1,27) (1,28) 29
(2,27) (2,28) 40
(3,27) (3,28) 30
(4,27) (4,28) 27
(5,27) (5,28) 28
(1,28) (1,29) 59
(2,28) (2,29) 16
(3,28) (3,29) 49
(4,28) (4,29) 99
(5,28) (5,29) 10
(1,29) (1,30) 93
(2,29) (2,30) 8
(3,29) (3,30) 54
(4,29) (4,30) 58
(5,29) (5,30) 81
(1,30) (1,31) 67
(2,30) (2,31) 63
(3,30) (3,31) 91
(4,30) (4,31) 75
(5,30) (5,31) 50
(1,31) (1,32) 56
(2,31) (2,32) 48
(3,31) (3,32) 12
(4,31) (4,32) 39
(5,31) (5,32) 49
(1,32) (1,33) 18
(2,32) (2,33) 6
(3,32) (3,33) 5
(4,32) (4,33) 37
(5,32) (5,33) 100
(1,33) (1,34) 4
(2,33) (2,34) 93
(3,33) (3,34) 43
(4,33) (4,34) 13
(5,33) (5,34) 67
(1,34) (1,35) 94
(2,34) (2,35) 8
(3,34) (3,35) 81
(4,34) (4,35) 53
